,Star Name,Distance,Mass,Radius,Gravity
72,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
73,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
74,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
75,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
76,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
77,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
78,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
79,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
80,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
81,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
82,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
83,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
84,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
85,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
86,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
87,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
88,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
89,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
90,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
91,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
92,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
93,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
94,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
95,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
96,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
97,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
98,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
99,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
100,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
101,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
